s,t,Open,High,Low,Close,Volume,Date
ok,1548720000,1219.44,1220.08,1190.07,1199.28,9417297,2019-01-29 05:30:00
ok,1548806400,1203.59,1213.5,1179.92,1184.47,7921324,2019-01-30 05:30:00
ok,1548892800,1190.71,1218.15,1189.72,1215.63,10281897,2019-01-31 05:30:00
ok,1548979200,1222.41,1243.22,1215.53,1238.21,9316449,2019-02-01 05:30:00
ok,1549238400,1235.29,1284.77,1230.39,1278.78,11781199,2019-02-04 05:30:00
ok,1549324800,1279.87,1292.15,1266.59,1279.42,9451155,2019-02-05 05:30:00
ok,1549411200,1284.08,1305.28,1282.1,1297.95,9500801,2019-02-06 05:30:00
ok,1549497600,1297.95,1308.79,1274.02,1278.28,9299553,2019-02-07 05:30:00
ok,1549584000,1272.74,1288.29,1260.3,1265.7,6567170,2019-02-08 05:30:00
ok,1549843200,1263.92,1264.02,1239.25,1241.48,7595321,2019-02-11 05:30:00
ok,1549929600,1239.75,1260.4,1239.75,1244.6,6460148,2019-02-12 05:30:00
ok,1550016000,1249.16,1261.99,1224.15,1234.25,7030056,2019-02-13 05:30:00
ok,1550102400,1229.35,1229.35,1206.56,1212.7,6690183,2019-02-14 05:30:00
ok,1550188800,1218.2,1238.16,1202.6,1232.76,9688943,2019-02-15 05:30:00
ok,1550448000,1238.26,1240.74,1203.59,1208.64,9740483,2019-02-18 05:30:00
ok,1550534400,1206.56,1228.06,1199.83,1204.68,6303380,2019-02-19 05:30:00
ok,1550620800,1212.36,1228.36,1207.55,1222.76,6357882,2019-02-20 05:30:00
ok,1550707200,1224.39,1245.99,1217.81,1235.19,10680471,2019-02-21 05:30:00
ok,1550793600,1232.91,1233.61,1214.49,1220.78,8838865,2019-02-22 05:30:00
ok,1551052800,1224.39,1231.33,1209.19,1220.73,7926965,2019-02-25 05:30:00
ok,1551139200,1198.14,1223.2,1194.68,1208.79,10227086,2019-02-26 05:30:00
ok,1551225600,1216.52,1233.21,1197.65,1212.01,11218528,2019-02-27 05:30:00
ok,1551312000,1222.16,1228.21,1215.03,1219.49,11393908,2019-02-28 05:30:00
ok,1551398400,1225.38,1230.68,1210.77,1214.54,7997613,2019-03-01 05:30:00
ok,1551744000,1211.91,1228.16,1207.16,1226.03,7189016,2019-03-05 05:30:00
ok,1551830400,1228.16,1261.15,1223.5,1252.92,12152345,2019-03-06 05:30:00
ok,1551916800,1252.13,1267.78,1246.34,1258.32,8186129,2019-03-07 05:30:00
ok,1552003200,1254.16,1262.48,1250.15,1255.2,6097308,2019-03-08 05:30:00
ok,1552262400,1258.12,1299.68,1256.09,1291.85,9810968,2019-03-11 05:30:00
ok,1552348800,1304.53,1321.47,1301.91,1318.85,11335177,2019-03-12 05:30:00
ok,1552435200,1324.45,1347.23,1315.63,1334.65,11342558,2019-03-13 05:30:00
ok,1552521600,1337.08,1349.21,1323.55,1328.95,10500652,2019-03-14 05:30:00
ok,1552608000,1332.37,1346.04,1298.89,1309.24,16043749,2019-03-15 05:30:00
ok,1552867200,1318.5,1345.2,1316.52,1337.37,10201025,2019-03-18 05:30:00
ok,1552953600,1347.23,1367.04,1330.49,1363.62,9898266,2019-03-19 05:30:00
ok,1553040000,1364.86,1374.97,1351.19,1362.53,9986600,2019-03-20 05:30:00
ok,1553212800,1359.61,1367.93,1324.15,1329.15,11573794,2019-03-22 05:30:00
ok,1553472000,1318.11,1324.3,1304.34,1312.01,8027372,2019-03-25 05:30:00
ok,1553558400,1317.81,1358.72,1317.51,1354.41,9569145,2019-03-26 05:30:00
ok,1553644800,1365.01,1365.01,1331.63,1336.58,10189860,2019-03-27 05:30:00
ok,1553731200,1337.57,1356.94,1330.19,1347.23,10582309,2019-03-28 05:30:00
ok,1553817600,1357.18,1363.92,1342.38,1350.45,7772255,2019-03-29 05:30:00
ok,1554076800,1357.14,1393.59,1349.76,1378.78,10194006,2019-04-01 05:30:00
ok,1554163200,1384.87,1389.92,1367.14,1376.65,8088590,2019-04-02 05:30:00
ok,1554249600,1379.67,1389.83,1359.12,1362.29,7923869,2019-04-03 05:30:00
ok,1554336000,1366.05,1370.71,1334.6,1340.34,8455070,2019-04-04 05:30:00
ok,1554422400,1348.17,1351.09,1330.39,1341.19,6792018,2019-04-05 05:30:00
ok,1554681600,1343.27,1344.75,1311.27,1316.77,8806271,2019-04-08 05:30:00
ok,1554768000,1316.42,1328.11,1308.6,1321.92,9587652,2019-04-09 05:30:00
ok,1554854400,1325.39,1335.34,1314.04,1318.9,7684874,2019-04-10 05:30:00
ok,1554940800,1320.43,1340.29,1316.52,1334.15,5795757,2019-04-11 05:30:00
ok,1555027200,1337.32,1344.16,1324.1,1330.49,5975857,2019-04-12 05:30:00
ok,1555286400,1332.37,1336.28,1322.46,1327.57,4285368,2019-04-15 05:30:00
ok,1555372800,1332.37,1347.23,1327.42,1331.13,8011786,2019-04-16 05:30:00
ok,1555545600,1362.09,1376.7,1352.18,1372.94,18130735,2019-04-18 05:30:00
ok,1555891200,1347.23,1354.16,1328.7,1332.72,10895056,2019-04-22 05:30:00
ok,1555977600,1335.34,1360.11,1333.36,1351.04,9141138,2019-04-23 05:30:00
ok,1556064000,1357.43,1381.7,1353.42,1376.45,7430663,2019-04-24 05:30:00
ok,1556150400,1376.06,1399.14,1349.8,1359.51,14061865,2019-04-25 05:30:00
ok,1556236800,1362.09,1382.84,1357.83,1379.72,6954751,2019-04-26 05:30:00
ok,1556582400,1383.29,1383.29,1353.97,1379.72,10313869,2019-04-30 05:30:00
ok,1556755200,1378.93,1400.62,1369.12,1391.86,8764809,2019-05-02 05:30:00
ok,1556841600,1394.73,1404.19,1389.48,1395.62,6571881,2019-05-03 05:30:00
ok,1557100800,1384.87,1389.63,1365.16,1371.9,7306521,2019-05-06 05:30:00
ok,1557187200,1381.7,1381.9,1327.62,1330.88,8961244,2019-05-07 05:30:00
ok,1557273600,1327.42,1327.42,1280.07,1287.25,14749041,2019-05-08 05:30:00
ok,1557360000,1276.7,1276.7,1240.0,1244.65,19692285,2019-05-09 05:30:00
ok,1557446400,1253.12,1265.7,1233.31,1239.4,11333254,2019-05-10 05:30:00
ok,1557705600,1236.18,1248.96,1215.97,1220.48,8124089,2019-05-13 05:30:00
ok,1557792000,1224.89,1257.43,1219.94,1248.61,13124245,2019-05-14 05:30:00
ok,1557878400,1261.05,1266.0,1238.86,1245.1,11269626,2019-05-15 05:30:00
